planId,distributor,brandName,displayName,planType,effectiveFrom,effectiveTo,dmoPrice,annualUsage,supplyCharge,demandCharge,estimatedCharge,differenceDmoPrice
REA251046SRE4@EME,Ausgrid,ReAmped Energy,ReAmped Standard | Anytime,STANDING,2023-07-01 00:00:00+00:00,,1827.0,3911,287.127,1373.5431999999998,1660.6701999999998,-166.3298000000002
REA251061SRE4@EME,Essential Energy,ReAmped Energy,ReAmped Standard | Anytime,STANDING,2023-07-01 00:00:00+00:00,,2527.0,4613,516.8286,1781.0793,2297.9079,-229.09209999999985
RED636161MRE4@EME,Energex,Red Energy,Living Energy Solar Saver,MARKET,2024-02-05 00:00:00+00:00,,1969.0,4613,384.0072,1246.4326,1630.4398,-338.5601999999999
RED21278SRE9@EME,SA Power Networks,Red Energy,Standing Offer,STANDING,2024-01-24 00:00:00+00:00,,2279.0,4011,385.6908,1619.6418,2005.3326000000002,-273.6673999999998
RED552850MRE6@EME,Energex,Red Energy,Red EV Saver,MARKET,2024-01-23 00:00:00+00:00,,1969.0,4613,384.0072,1246.4326,1630.4398,-338.5601999999999
RED552754MRE6@EME,Ausgrid,Red Energy,Red BCNA Saver,MARKET,2024-01-23 00:00:00+00:00,,1827.0,3911,251.625,1089.2135,1340.8385,-486.16149999999993
RED552697MRE6@EME,Energex,Red Energy,Red Wildlife Saver,MARKET,2024-01-23 00:00:00+00:00,,1969.0,4613,384.0072,1246.4326,1630.4398,-338.5601999999999
RED552711MRE6@EME,Energex,Red Energy,Red BCNA Saver,MARKET,2024-01-23 00:00:00+00:00,,1969.0,4613,384.0072,1246.4326,1630.4398,-338.5601999999999
RED552744MRE6@EME,Endeavour,Red Energy,Red BCNA Saver,MARKET,2024-01-23 00:00:00+00:00,,2228.0,4913,285.297,1433.6134,1718.9104,-509.0896
RED552693MRE6@EME,Ausgrid,Red Energy,Red Wildlife Saver,MARKET,2024-01-23 00:00:00+00:00,,1827.0,3911,251.625,1089.2135,1340.8385,-486.16149999999993
RED552653MRE6@EME,Endeavour,Red Energy,Red Wildlife Saver,MARKET,2024-01-23 00:00:00+00:00,,2228.0,4913,285.297,1433.6134,1718.9104,-509.0896
RED552169MRE6@EME,Endeavour,Red Energy,Living Energy Saver,MARKET,2024-01-23 00:00:00+00:00,,2228.0,4913,285.297,1433.6134,1718.9104,-509.0896
